period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,rh,temp,pm1,pm25,pm10,co,no,no2,o3,pm10 > 150?
2024-01-01T00:00:00-05:00,2024-01-01T01:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T06:00:00+00:00,MOD-00247,60,58.012,2,5.319,5.427,6.659,211.535,2.023,32.057,19.287,0
2024-01-01T01:00:00-05:00,2024-01-01T02:00:00-05:00,2024-01-01T06:00:00+00:00,2024-01-01T07:00:00+00:00,MOD-00247,60,57.62,2,4.432,4.522,5.44,200.278,1.964,31.801,19.912,0
2024-01-01T02:00:00-05:00,2024-01-01T03:00:00-05:00,2024-01-01T07:00:00+00:00,2024-01-01T08:00:00+00:00,MOD-00247,52,57.937,2,4.614,4.709,5.43,197.864,2.038,31.631,19.695,0
2024-01-01T03:00:00-05:00,2024-01-01T04:00:00-05:00,2024-01-01T08:00:00+00:00,2024-01-01T09:00:00+00:00,MOD-00247,0,,,,,,,,,,
2024-01-01T04:00:00-05:00,2024-01-01T05:00:00-05:00,2024-01-01T09:00:00+00:00,2024-01-01T10:00:00+00:00,MOD-00247,0,,,,,,,,,,
2024-01-01T05:00:00-05:00,2024-01-01T06:00:00-05:00,2024-01-01T10:00:00+00:00,2024-01-01T11:00:00+00:00,MOD-00247,0,,,,,,,,,,
2024-01-01T06:00:00-05:00,2024-01-01T07:00:00-05:00,2024-01-01T11:00:00+00:00,2024-01-01T12:00:00+00:00,MOD-00247,0,,,,,,,,,,
2024-01-01T07:00:00-05:00,2024-01-01T08:00:00-05:00,2024-01-01T12:00:00+00:00,2024-01-01T13:00:00+00:00,MOD-00247,56,62.082,0.73,2.263,2.374,3.723,,,,,0
2024-01-01T08:00:00-05:00,2024-01-01T09:00:00-05:00,2024-01-01T13:00:00+00:00,2024-01-01T14:00:00+00:00,MOD-00247,60,57.81,1.537,2.27,2.388,4.35,183.71,1.96,30.187,20.703,0
2024-01-01T09:00:00-05:00,2024-01-01T10:00:00-05:00,2024-01-01T14:00:00+00:00,2024-01-01T15:00:00+00:00,MOD-00247,60,51.342,3.37,2.203,2.286,2.907,168.647,2.696,29.203,22.38,0
2024-01-01T10:00:00-05:00,2024-01-01T11:00:00-05:00,2024-01-01T15:00:00+00:00,2024-01-01T16:00:00+00:00,MOD-00247,60,46.422,4.902,2.573,2.666,4.704,170.114,2.787,29.055,22.643,0
2024-01-01T11:00:00-05:00,2024-01-01T12:00:00-05:00,2024-01-01T16:00:00+00:00,2024-01-01T17:00:00+00:00,MOD-00247,60,43.957,5.858,3.043,3.13,4.146,174.874,2.582,29.338,22.087,0
2024-01-01T12:00:00-05:00,2024-01-01T13:00:00-05:00,2024-01-01T17:00:00+00:00,2024-01-01T18:00:00+00:00,MOD-00247,60,42.075,6.558,3.174,3.252,4.382,188.091,2.557,29.283,23.181,0
2024-01-01T13:00:00-05:00,2024-01-01T14:00:00-05:00,2024-01-01T18:00:00+00:00,2024-01-01T19:00:00+00:00,MOD-00247,60,37.862,8.15,3.569,3.652,4.319,162.294,3.549,28.821,24.423,0
2024-01-01T14:00:00-05:00,2024-01-01T15:00:00-05:00,2024-01-01T19:00:00+00:00,2024-01-01T20:00:00+00:00,MOD-00247,60,35.147,9.56,3.804,3.892,5.148,168.002,3.518,20.649,24.406,0
2024-01-01T15:00:00-05:00,2024-01-01T16:00:00-05:00,2024-01-01T20:00:00+00:00,2024-01-01T21:00:00+00:00,MOD-00247,60,40.373,7.43,3.853,3.955,4.83,179.328,3.004,31.281,22.773,0
2024-01-01T16:00:00-05:00,2024-01-01T17:00:00-05:00,2024-01-01T21:00:00+00:00,2024-01-01T22:00:00+00:00,MOD-00247,60,50.287,3.808,3.849,3.965,5.114,221.088,2.969,33.976,20.662,0
2024-01-01T17:00:00-05:00,2024-01-01T18:00:00-05:00,2024-01-01T22:00:00+00:00,2024-01-01T23:00:00+00:00,MOD-00247,60,59.333,2.003,3.657,3.836,6.511,258.685,2.507,35.262,19.936,0
2024-01-01T18:00:00-05:00,2024-01-01T19:00:00-05:00,2024-01-01T23:00:00+00:00,2024-01-02T00:00:00+00:00,MOD-00247,60,65.14,1.05,7.199,7.406,10.88,273.914,2.746,34.468,18.346,0
