period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,rh,temp,pm1,pm25,pm10,co,no,no2,o3,pm10 > 150?
2024-01-01T00:00:00-05:00,2024-01-01T01:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T06:00:00+00:00,MOD-00257,60,57.035,2.233,4.615,4.665,5.225,183.143,1.973,32.588,17.916,0
2024-01-01T01:00:00-05:00,2024-01-01T02:00:00-05:00,2024-01-01T06:00:00+00:00,2024-01-01T07:00:00+00:00,MOD-00257,60,54.912,2.103,3.011,3.053,3.397,159.627,2.196,33.757,17.343,0
2024-01-01T02:00:00-05:00,2024-01-01T03:00:00-05:00,2024-01-01T07:00:00+00:00,2024-01-01T08:00:00+00:00,MOD-00257,60,54.59,2.002,2.362,2.392,2.709,151.289,2.28,31.963,20.856,0
2024-01-01T03:00:00-05:00,2024-01-01T04:00:00-05:00,2024-01-01T08:00:00+00:00,2024-01-01T09:00:00+00:00,MOD-00257,60,55.663,1.995,2.498,2.536,2.694,151.286,1.955,33.682,17.532,0
2024-01-01T04:00:00-05:00,2024-01-01T05:00:00-05:00,2024-01-01T09:00:00+00:00,2024-01-01T10:00:00+00:00,MOD-00257,60,56.098,1.91,2.577,2.611,3.111,146.972,1.869,32.872,18.543,0
2024-01-01T05:00:00-05:00,2024-01-01T06:00:00-05:00,2024-01-01T10:00:00+00:00,2024-01-01T11:00:00+00:00,MOD-00257,60,57.39,1.9,3.289,3.331,3.875,175.217,2.032,32.47,18.673,0
2024-01-01T06:00:00-05:00,2024-01-01T07:00:00-05:00,2024-01-01T11:00:00+00:00,2024-01-01T12:00:00+00:00,MOD-00257,60,58.365,1.865,4.424,4.5,5.748,185.899,2.175,32.699,17.29,0
2024-01-01T07:00:00-05:00,2024-01-01T08:00:00-05:00,2024-01-01T12:00:00+00:00,2024-01-01T13:00:00+00:00,MOD-00257,60,57.43,1.717,3.494,3.544,3.891,261.177,2.009,33.039,16.946,0
2024-01-01T08:00:00-05:00,2024-01-01T09:00:00-05:00,2024-01-01T13:00:00+00:00,2024-01-01T14:00:00+00:00,MOD-00257,60,56.545,2.19,3.564,3.612,4.262,177.492,1.996,32.653,17.917,0
2024-01-01T09:00:00-05:00,2024-01-01T10:00:00-05:00,2024-01-01T14:00:00+00:00,2024-01-01T15:00:00+00:00,MOD-00257,60,51.755,3.32,3.636,3.691,4.286,170.304,2.189,30.563,21.819,0
2024-01-01T10:00:00-05:00,2024-01-01T11:00:00-05:00,2024-01-01T15:00:00+00:00,2024-01-01T16:00:00+00:00,MOD-00257,60,47.313,4.542,3.247,3.307,3.805,157.707,1.984,29.97,22.624,0
2024-01-01T11:00:00-05:00,2024-01-01T12:00:00-05:00,2024-01-01T16:00:00+00:00,2024-01-01T17:00:00+00:00,MOD-00257,60,43.988,5.913,3.433,3.483,4.025,156.281,2.052,29.195,25.246,0
2024-01-01T12:00:00-05:00,2024-01-01T13:00:00-05:00,2024-01-01T17:00:00+00:00,2024-01-01T18:00:00+00:00,MOD-00257,60,40.643,7.275,3.287,3.346,4.016,155.009,1.943,28.992,25.938,0
2024-01-01T13:00:00-05:00,2024-01-01T14:00:00-05:00,2024-01-01T18:00:00+00:00,2024-01-01T19:00:00+00:00,MOD-00257,60,35.647,9.367,3.635,3.703,4.159,158.229,2.133,24.866,29.945,0
2024-01-01T14:00:00-05:00,2024-01-01T15:00:00-05:00,2024-01-01T19:00:00+00:00,2024-01-01T20:00:00+00:00,MOD-00257,60,31.147,11.543,4.062,4.128,4.774,222.716,2.181,26.492,27.183,0
2024-01-01T15:00:00-05:00,2024-01-01T16:00:00-05:00,2024-01-01T20:00:00+00:00,2024-01-01T21:00:00+00:00,MOD-00257,60,36.86,8.957,4.259,4.349,4.977,179.81,2.115,30.011,18.259,0
2024-01-01T16:00:00-05:00,2024-01-01T17:00:00-05:00,2024-01-01T21:00:00+00:00,2024-01-01T22:00:00+00:00,MOD-00257,60,52.205,3.438,4.354,4.482,6.675,231.018,2.035,36.332,15.615,0
2024-01-01T17:00:00-05:00,2024-01-01T18:00:00-05:00,2024-01-01T22:00:00+00:00,2024-01-01T23:00:00+00:00,MOD-00257,60,57.703,1.868,4.091,4.177,5.015,285.025,2.134,37.633,14.017,0
