period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,rh,temp,pm1,pm25,pm10,co,no,no2,o3,pm10 > 150?
2024-01-01T00:00:00-05:00,2024-01-01T01:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T06:00:00+00:00,MOD-00246,60,56.49,2.48,3.485,3.571,4.502,261.595,1.88,19.713,36.245,0
2024-01-01T01:00:00-05:00,2024-01-01T02:00:00-05:00,2024-01-01T06:00:00+00:00,2024-01-01T07:00:00+00:00,MOD-00246,60,54.26,2.403,2.12,2.192,2.5,236.132,2.468,21.303,34.557,0
2024-01-01T02:00:00-05:00,2024-01-01T03:00:00-05:00,2024-01-01T07:00:00+00:00,2024-01-01T08:00:00+00:00,MOD-00246,60,53.965,2.318,1.802,1.853,2.359,227.67,2.5,19.592,38.957,0
2024-01-01T03:00:00-05:00,2024-01-01T04:00:00-05:00,2024-01-01T08:00:00+00:00,2024-01-01T09:00:00+00:00,MOD-00246,60,55.027,2.292,1.795,1.849,2.159,226.381,2.274,21.351,34.742,0
2024-01-01T04:00:00-05:00,2024-01-01T05:00:00-05:00,2024-01-01T09:00:00+00:00,2024-01-01T10:00:00+00:00,MOD-00246,60,55.45,2.212,1.709,1.763,1.97,223.127,2.151,20.071,36.132,0
2024-01-01T05:00:00-05:00,2024-01-01T06:00:00-05:00,2024-01-01T10:00:00+00:00,2024-01-01T11:00:00+00:00,MOD-00246,60,56.762,2.2,2.471,2.536,3.258,255.783,1.935,18.701,36.856,0
2024-01-01T06:00:00-05:00,2024-01-01T07:00:00-05:00,2024-01-01T11:00:00+00:00,2024-01-01T12:00:00+00:00,MOD-00246,60,57.833,2.112,3.61,3.748,5.755,266.271,2.022,20.321,35.724,0
2024-01-01T07:00:00-05:00,2024-01-01T08:00:00-05:00,2024-01-01T12:00:00+00:00,2024-01-01T13:00:00+00:00,MOD-00246,60,56.858,2.002,2.718,2.79,3.473,350.814,1.854,20.316,34.623,0
2024-01-01T08:00:00-05:00,2024-01-01T09:00:00-05:00,2024-01-01T13:00:00+00:00,2024-01-01T14:00:00+00:00,MOD-00246,60,56.248,2.377,2.893,2.964,3.959,255.654,1.988,19.725,34.721,0
2024-01-01T09:00:00-05:00,2024-01-01T10:00:00-05:00,2024-01-01T14:00:00+00:00,2024-01-01T15:00:00+00:00,MOD-00246,60,51.43,3.552,2.893,2.977,4.115,246.476,2.539,18.222,38.031,0
2024-01-01T10:00:00-05:00,2024-01-01T11:00:00-05:00,2024-01-01T15:00:00+00:00,2024-01-01T16:00:00+00:00,MOD-00246,60,47.637,4.595,2.493,2.577,3.351,230.298,2.356,15.511,38.839,0
2024-01-01T11:00:00-05:00,2024-01-01T12:00:00-05:00,2024-01-01T16:00:00+00:00,2024-01-01T17:00:00+00:00,MOD-00246,60,44.678,5.817,2.646,2.727,3.124,226.622,2.125,11.32,40.44,0
2024-01-01T12:00:00-05:00,2024-01-01T13:00:00-05:00,2024-01-01T17:00:00+00:00,2024-01-01T18:00:00+00:00,MOD-00246,60,41.92,6.963,2.543,2.623,3.735,223.299,2.291,12.576,40.533,0
2024-01-01T13:00:00-05:00,2024-01-01T14:00:00-05:00,2024-01-01T18:00:00+00:00,2024-01-01T19:00:00+00:00,MOD-00246,60,39.925,7.618,2.71,2.786,3.452,221.434,2.283,12.624,42.042,0
2024-01-01T14:00:00-05:00,2024-01-01T15:00:00-05:00,2024-01-01T19:00:00+00:00,2024-01-01T20:00:00+00:00,MOD-00246,60,39.827,7.673,3.001,3.087,4.162,293.176,2.301,14.551,41.484,0
2024-01-01T15:00:00-05:00,2024-01-01T16:00:00-05:00,2024-01-01T20:00:00+00:00,2024-01-01T21:00:00+00:00,MOD-00246,60,43.25,6.485,2.93,3.04,4.414,258.811,2.125,17.522,41.112,0
2024-01-01T16:00:00-05:00,2024-01-01T17:00:00-05:00,2024-01-01T21:00:00+00:00,2024-01-01T22:00:00+00:00,MOD-00246,60,53.073,3.378,3.386,3.584,5.34,314.327,2.342,21.88,36.827,0
2024-01-01T17:00:00-05:00,2024-01-01T18:00:00-05:00,2024-01-01T22:00:00+00:00,2024-01-01T23:00:00+00:00,MOD-00246,60,57.66,2.015,3.165,3.303,4.692,372.071,2.12,23.958,32.146,0
2024-01-01T18:00:00-05:00,2024-01-01T19:00:00-05:00,2024-01-01T23:00:00+00:00,2024-01-02T00:00:00+00:00,MOD-00246,60,68.98,0.917,3.295,3.432,6.213,333.433,1.984,27.398,25.49,0
2024-01-01T19:00:00-05:00,2024-01-01T20:00:00-05:00,2024-01-02T00:00:00+00:00,2024-01-02T01:00:00+00:00,MOD-00246,60,73.378,0.155,5.145,5.364,10.628,472.427,1.867,28.11,22.176,0
2024-01-01T20:00:00-05:00,2024-01-01T21:00:00-05:00,2024-01-02T01:00:00+00:00,2024-01-02T02:00:00+00:00,MOD-00246,60,67.837,-0.002,5.187,5.352,7.094,401.056,3.804,24.679,25.297,0
2024-01-01T21:00:00-05:00,2024-01-01T22:00:00-05:00,2024-01-02T02:00:00+00:00,2024-01-02T03:00:00+00:00,MOD-00246,60,59.712,-0.312,4.148,4.293,5.848,333.715,2.911,20.342,33.301,0
2024-01-01T22:00:00-05:00,2024-01-01T23:00:00-05:00,2024-01-02T03:00:00+00:00,2024-01-02T04:00:00+00:00,MOD-00246,60,57.892,-0.735,4.705,4.876,8.034,299.076,2.376,19.687,33.892,0
2024-01-01T23:00:00-05:00,2024-01-02T00:00:00-05:00,2024-01-02T04:00:00+00:00,2024-01-02T05:00:00+00:00,MOD-00246,60,58.333,-1.122,4.789,4.969,8.886,282.958,2.594,19.229,33.765,0
2024-01-02T00:00:00-05:00,2024-01-02T01:00:00-05:00,2024-01-02T05:00:00+00:00,2024-01-02T06:00:00+00:00,MOD-00246,60,60.883,-1.655,4.896,5.096,10.162,283.356,3.39,19.591,33.064,0
2024-01-02T01:00:00-05:00,2024-01-02T02:00:00-05:00,2024-01-02T06:00:00+00:00,2024-01-02T07:00:00+00:00,MOD-00246,60,63.775,-2.292,4.531,4.736,10.144,275.018,4.101,20.543,30.499,0
2024-01-02T02:00:00-05:00,2024-01-02T03:00:00-05:00,2024-01-02T07:00:00+00:00,2024-01-02T08:00:00+00:00,MOD-00246,60,65.515,-2.727,3.342,3.521,6.403,252.274,3.91,20.747,28.902,0
2024-01-02T03:00:00-05:00,2024-01-02T04:00:00-05:00,2024-01-02T08:00:00+00:00,2024-01-02T09:00:00+00:00,MOD-00246,60,67.197,-3.135,2.968,3.106,6.305,242.032,3.735,22.562,24.83,0
2024-01-02T04:00:00-05:00,2024-01-02T05:00:00-05:00,2024-01-02T09:00:00+00:00,2024-01-02T10:00:00+00:00,MOD-00246,60,69.557,-3.635,2.898,3.051,6.333,236.3,10.66,24.606,19.325,0
2024-01-02T05:00:00-05:00,2024-01-02T06:00:00-05:00,2024-01-02T10:00:00+00:00,2024-01-02T11:00:00+00:00,MOD-00246,60,70.878,-3.845,2.85,3.081,8.42,269.125,9.653,24.665,19.722,0
2024-01-02T06:00:00-05:00,2024-01-02T07:00:00-05:00,2024-01-02T11:00:00+00:00,2024-01-02T12:00:00+00:00,MOD-00246,60,74.797,-3.887,3.614,3.811,7.831,415.585,4.494,24.348,19.543,0
2024-01-02T07:00:00-05:00,2024-01-02T08:00:00-05:00,2024-01-02T12:00:00+00:00,2024-01-02T13:00:00+00:00,MOD-00246,60,75.872,-3.728,4.298,4.525,10.013,472.423,7.524,23.916,19.35,0
2024-01-02T08:00:00-05:00,2024-01-02T09:00:00-05:00,2024-01-02T13:00:00+00:00,2024-01-02T14:00:00+00:00,MOD-00246,60,65.815,-1.123,5.188,5.425,10.945,434.019,6.355,21.168,24.483,0
2024-01-02T09:00:00-05:00,2024-01-02T10:00:00-05:00,2024-01-02T14:00:00+00:00,2024-01-02T15:00:00+00:00,MOD-00246,60,56.173,0.89,4.467,4.664,8.906,340.057,2.701,16.151,31.268,0
2024-01-02T10:00:00-05:00,2024-01-02T11:00:00-05:00,2024-01-02T15:00:00+00:00,2024-01-02T16:00:00+00:00,MOD-00246,60,46.663,3,4.349,4.523,8.317,317.711,2.305,11.841,34.887,0
2024-01-02T11:00:00-05:00,2024-01-02T12:00:00-05:00,2024-01-02T16:00:00+00:00,2024-01-02T17:00:00+00:00,MOD-00246,60,35.125,6.86,4.577,4.765,8.031,291.395,2.457,7.855,37.437,0
2024-01-02T12:00:00-05:00,2024-01-02T13:00:00-05:00,2024-01-02T17:00:00+00:00,2024-01-02T18:00:00+00:00,MOD-00246,60,27.832,10.13,4.671,4.876,8.713,254.128,2.715,4.188,39.524,0
2024-01-02T13:00:00-05:00,2024-01-02T14:00:00-05:00,2024-01-02T18:00:00+00:00,2024-01-02T19:00:00+00:00,MOD-00246,60,26.388,9.853,3.379,3.562,6.889,244.666,2.465,6.169,40.194,0
