period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,rh,temp,pm1,pm25,pm10,co,no,no2,o3,pm10>150?
2025-01-01T00:00:00-05:00,2025-01-01T01:00:00-05:00,2025-01-01T05:00:00+00:00,2025-01-01T06:00:00+00:00,MOD-00246,60,84.638,7.362,3.274,6.509,54.935,230.311,2.446,23.45,33.824,0
2025-01-01T01:00:00-05:00,2025-01-01T02:00:00-05:00,2025-01-01T06:00:00+00:00,2025-01-01T07:00:00+00:00,MOD-00246,60,81.032,8.41,2.697,6.94,57.51,210.283,2.155,22.059,35.838,0
2025-01-01T02:00:00-05:00,2025-01-01T03:00:00-05:00,2025-01-01T07:00:00+00:00,2025-01-01T08:00:00+00:00,MOD-00246,60,85.857,8.417,2.54,10.826,92.737,194.563,2.412,14.108,36.531,0
2025-01-01T03:00:00-05:00,2025-01-01T04:00:00-05:00,2025-01-01T08:00:00+00:00,2025-01-01T09:00:00+00:00,MOD-00246,60,86.898,8.533,2.208,10.585,70.202,186.929,2.525,10.458,36.31,0
2025-01-01T04:00:00-05:00,2025-01-01T05:00:00-05:00,2025-01-01T09:00:00+00:00,2025-01-01T10:00:00+00:00,MOD-00246,60,86.715,8.667,2.062,11.265,106.739,203.466,2.548,9.932,36.685,0
2025-01-01T05:00:00-05:00,2025-01-01T06:00:00-05:00,2025-01-01T10:00:00+00:00,2025-01-01T11:00:00+00:00,MOD-00246,60,87.198,8.873,2.396,12.465,125.862,253.387,2.726,11.001,33.552,0
2025-01-01T06:00:00-05:00,2025-01-01T07:00:00-05:00,2025-01-01T11:00:00+00:00,2025-01-01T12:00:00+00:00,MOD-00246,60,87.542,9.287,2.138,11.732,102.692,208.755,2.982,12.52,27.098,0
2025-01-01T07:00:00-05:00,2025-01-01T08:00:00-05:00,2025-01-01T12:00:00+00:00,2025-01-01T13:00:00+00:00,MOD-00246,60,87.263,9.468,2.466,8.658,55.447,238.11,2.904,11.996,29.803,0
2025-01-01T08:00:00-05:00,2025-01-01T09:00:00-05:00,2025-01-01T13:00:00+00:00,2025-01-01T14:00:00+00:00,MOD-00246,60,87.502,9.385,2.146,5.037,20.423,236.455,3.083,15.071,25.715,0
2025-01-01T09:00:00-05:00,2025-01-01T10:00:00-05:00,2025-01-01T14:00:00+00:00,2025-01-01T15:00:00+00:00,MOD-00246,60,87.132,9.642,1.292,2.321,5.97,211.195,2.932,11.965,32.99,0
